correcteds,correctors,created_at,PASS,Highest C Piscine,Final exam score,Number of group assignments,level,penalty
0,0,9,1,13,0,0,0.17,0
39,33,9,1,6,0,3,3.44,0
45,39,14,1,8,0,2,5.42,0
22,21,12,1,3,0,1,0.76,0
60,71,14,1,9,0,1,7.1,0
115,103,6,1,13,0,4,4.19,0
127,128,5,1,4,0,2,4.71,0
7,2,9,0,2,18,3,2.83,1
144,140,5,1,11,0,2,11.55,0
79,81,5,1,11,0,2,10.25,0
141,202,5,1,11,0,2,10.72,0
139,120,5,1,11,0,2,11.17,0
10,6,9,0,1,0,1,1.53,0
97,71,5,1,9,0,2,10.74,0
68,96,5,1,6,0,2,4.72,0
81,127,5,1,8,0,2,7.63,0
108,99,5,1,8,0,2,8.82,0
119,135,5,1,8,0,2,7.16,0
17,13,9,0,4,0,3,2.35,1
38,39,9,0,7,30,2,5.23,0
14,21,9,0,3,0,2,1.38,0
1,0,9,0,1,,1,0.82,0
5,5,9,0,1,0,2,1.47,0
40,29,5,1,6,0,2,5.75,0
146,150,5,1,9,0,2,9.13,0
35,28,5,1,7,0,2,8.33,0
153,128,5,1,8,0,2,9.29,0
32,26,5,1,7,0,2,6.19,0
190,192,5,1,11,0,2,12.11,0
1,0,9,0,1,18,1,1.35,0
109,86,5,1,11,0,2,12.36,0
8,6,9,0,3,12,2,2.88,0
80,70,5,1,9,0,2,7.07,0
42,34,5,1,4,0,2,3.47,0
50,41,5,1,7,0,2,6.91,0
68,77,5,1,9,0,2,8.03,0
118,107,5,1,11,0,2,10.03,0
145,140,5,1,11,0,2,12.29,0
118,102,5,1,9,0,2,9.61,0
48,47,9,0,9,72,2,8.1,0
10,14,9,0,2,0,2,1.64,0
145,123,5,1,11,0,2,11.55,0
6,4,9,0,1,0,1,0.46,0
100,97,5,1,9,0,2,8.11,0
51,52,5,1,9,0,2,6.83,0
105,103,5,1,6,0,2,7.49,0
138,158,5,1,11,0,2,11.72,0
44,45,9,0,9,48,2,7.27,0
119,100,5,1,11,0,2,10.53,0
58,57,9,0,8,30,2,6.46,0
87,83,5,1,8,0,2,10.03,0
14,14,9,0,4,0,2,1.34,0
22,21,9,0,4,48,3,3.69,0
94,96,5,1,10,0,2,8.81,0
156,150,5,1,9,0,2,8.72,0
24,16,9,0,4,30,3,4.51,0
150,135,5,1,9,0,2,10.07,0
47,41,5,1,7,0,2,9.21,0
87,101,5,1,9,0,1,9.33,0
153,148,5,1,9,0,2,9.35,0
39,42,9,0,7,42,3,5.73,0
140,106,5,1,8,0,2,7.59,0
105,98,5,1,8,0,2,6.79,0
28,32,9,0,7,,2,2.59,0
33,30,9,0,4,0,2,2.34,0
166,152,5,1,11,0,1,9.55,0
130,117,5,1,11,0,1,7.41,0
106,114,5,1,7,0,2,7.98,0
116,82,5,1,11,0,2,11.36,0
173,176,5,1,13,0,2,13.53,0
152,141,5,1,9,0,2,9.32,0
52,51,9,0,9,66,4,8.9,0
5,6,9,0,1,0,1,0.33,0
138,122,5,1,11,0,2,10.22,0
83,78,5,1,9,0,2,8.91,0
103,84,3,1,8,0,1,7.12,0
39,47,3,1,6,0,1,4.49,0
40,79,3,1,9,0,2,8.1,0
140,135,3,1,6,0,2,5.5,0
22,21,9,0,2,,2,2.18,0
46,42,9,0,9,18,3,6.04,0
77,62,3,1,8,0,2,9.87,0
23,34,9,0,6,24,2,5.4,0
44,52,9,0,9,54,3,8.71,0
5,0,9,0,2,12,0,0.84,0
9,9,9,0,1,0,1,0.77,0
44,41,2,1,5,0,2,2.97,0
37,28,2,1,2,0,2,1.01,0
49,53,2,1,2,0,1,2.89,0
6,4,2,1,0,0,0,0.33,0
50,44,2,1,3,0,2,2.87,0
37,30,2,1,4,0,2,3.07,0
8,0,1,1,0,0,0,1.11,0
39,41,9,0,9,36,3,7.51,0
18,17,9,0,2,,3,1.5,0
106,95,8,1,13,6,4,2.21,0
41,50,9,0,11,54,3,7.84,0
18,16,14,1,3,6,1,2.08,0
58,48,12,1,9,6,2,3.86,0
17,17,9,0,3,0,3,1.34,0
4,6,9,0,2,0,1,0.81,0
5,0,9,0,1,0,1,1.14,0
2,0,9,0,1,,2,0.82,0
17,12,9,0,3,30,2,3.14,0
63,61,12,1,7,6,2,3.67,0
43,39,9,0,8,48,3,6.86,0
9,2,12,1,2,6,0,1.27,0
0,0,6,1,0,6,0,0.44,0
91,102,6,1,13,6,3,1.79,0
132,160,5,1,13,6,4,0.86,0
97,83,5,1,13,6,4,1.81,0
48,46,2,1,6,6,3,3.29,0
8,3,9,0,0,,0,0.93,0
50,61,9,1,4,12,4,3.46,0
40,35,9,0,7,42,2,6.65,0
18,14,9,0,1,,2,1.16,0
47,41,9,0,7,42,2,7.58,0
74,68,9,1,6,12,3,6.46,0
102,83,8,1,13,12,4,1.86,0
26,30,14,1,7,12,2,4.02,0
27,22,12,1,4,12,2,2.48,0
143,170,9,1,8,12,0,6.45,0
17,12,9,1,3,12,3,2.41,0
56,51,9,1,3,12,3,0.9,0
49,48,7,1,13,12,4,1.38,0
17,14,9,0,2,,1,1.71,0
32,22,9,0,6,42,3,6.26,0
127,126,6,1,13,12,3,1.75,0
107,111,5,1,13,12,4,0.87,0
33,31,9,0,7,0,1,3.52,0
87,122,5,1,13,12,4,0.95,0
32,28,9,0,4,18,3,4.42,0
51,43,9,0,6,18,2,2.76,0
105,133,4,1,13,12,4,3.28,0
16,12,9,0,2,0,2,2.23,0
