correcteds,correctors,created_at,PASS,Highest C Piscine,Final exam score,Number of group assignments,level,penalty
2,6,10,0,0,,0,0,0
14,0,10,0,0,,0,0,0
2,7,10,0,0,,1,1.19,0
40,26,10,0,4,,3,5.34,0
0,0,10,0,0,,0,0,0
81,65,10,0,8,54,0,5.98,0
7,17,10,1,1,0,1,0.3,0
0,3,10,0,0,,1,0,0
54,68,10,0,9,60,3,8.88,0
0,0,10,0,0,,0,0,0
3,9,10,0,0,,1,0.55,0
31,43,10,0,9,24,2,7.12,0
0,0,10,0,0,,0,0,0
32,41,10,0,6,60,4,6.17,0
15,11,10,0,2,,2,2.57,0
3,6,10,0,0,,2,0.79,0
3,5,10,0,0,,0,0.55,0
18,12,10,0,1,,2,0.68,0
13,21,10,1,1,0,1,1.01,0
59,70,10,0,9,48,2,6.98,0
113,136,6,1,11,0,4,10.94,0
0,4,10,0,0,,0,0,0
0,0,10,0,0,,0,0,0
91,100,4,1,11,0,4,9.24,0
120,92,10,0,11,24,3,10.25,0
18,23,10,0,3,,2,2.45,0
34,37,10,0,5,0,1,2.23,0
105,104,4,1,11,0,3,12.15,0
0,1,10,0,0,,0,0,0
29,12,10,0,1,,1,1.74,0
45,56,10,0,8,54,1,7.11,0
5,6,10,0,1,0,0,1.17,0
0,1,10,0,0,,1,0.92,0
53,62,10,0,9,72,2,7.16,0
28,31,10,0,9,60,2,8.15,0
23,27,10,0,4,6,1,3.23,0
119,133,4,1,8,0,3,9.07,0
23,31,10,0,4,0,1,3.6,0
106,100,4,1,9,0,4,7.88,0
0,0,10,0,0,,0,0,0
79,85,10,0,11,0,4,9.24,0
0,0,10,0,0,,0,0,0
42,43,10,0,8,0,3,5.96,0
33,45,10,0,8,54,2,6.51,0
76,81,4,1,11,0,3,10.98,0
58,71,3,1,10,0,4,8.82,0
65,72,10,0,11,66,3,10.99,0
61,67,3,1,9,0,4,11.59,0
38,50,3,1,11,0,4,9.53,0
103,148,4,1,11,6,4,10.44,0
62,82,10,0,11,66,4,9.78,0
55,55,10,0,9,0,1,4.75,0
52,70,4,1,9,6,3,9.03,0
30,40,10,0,10,60,1,8.79,0
147,120,4,1,11,6,3,9.73,0
105,92,4,1,8,6,3,8.3,0
140,153,4,1,11,12,4,9.06,0
21,26,10,0,3,24,2,2.18,0
175,111,4,1,11,12,3,9.72,0
31,43,10,0,8,0,3,4.92,0
149,155,4,1,11,12,3,8.37,0
73,67,4,1,9,12,2,8.19,0
33,41,10,0,8,12,1,5.4,0
13,25,10,0,3,0,0,2.18,0
65,56,4,1,11,12,4,9.09,0
0,6,10,0,0,6,0,0.25,0
54,67,10,0,9,60,2,7.51,0
3,5,10,0,1,,0,0.38,0
72,51,4,1,10,12,3,8.48,0
17,26,10,0,6,72,1,5.35,0
94,66,4,1,11,12,4,8.6,0
103,108,4,1,9,12,4,9.48,0
0,0,10,0,0,,0,0.74,0
52,48,4,1,9,18,4,9.52,0
80,97,10,0,11,0,3,11.8,0
48,61,10,0,8,24,2,5.95,0
40,50,10,0,9,24,2,5.96,0
0,0,10,0,0,,0,0,0
100,86,4,1,9,18,3,8.27,0
53,63,4,1,11,18,4,10.53,0
28,36,10,0,7,72,0,7.26,0
57,60,4,1,10,18,3,8.81,0
103,133,4,1,11,18,4,9.68,0
0,3,10,0,0,0,0,0.38,0
31,34,4,1,10,18,2,9.04,0
0,4,10,0,0,,0,0.69,0
37,52,10,0,8,18,3,3.96,1
91,61,10,0,11,24,3,9.58,0
38,49,10,0,11,0,1,11.48,0
9,14,10,0,1,,1,2.03,0
56,46,10,0,9,66,4,10.64,0
8,7,10,0,0,,0,0.55,0
14,16,10,0,2,,1,2.45,0
38,34,10,0,3,,2,3.49,0
36,36,10,0,8,72,0,7.56,0
1,0,10,0,0,,0,0,0
95,135,4,1,11,18,4,9.02,0
5,9,10,0,0,,1,0,0
93,72,4,1,11,18,3,8.73,0
11,12,10,0,3,,0,1.85,0
